Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Electrical System Separation,2009,6-5-2009,1:38 p.m.,6-5-2009,8:18 p.m.,Pacific Gas and Electric,East of Fresno California,WECC,1,70,islanding
Electrical System Separation (Islanding),2012,8-4-2012,3:55 AM,8-4-2012,4:21 AM,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",WECC,5,127,islanding
Vandalism,2011,6-4-2011,1:17 AM,6-4-2011,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420,vandalism
Public Appeal to Reduce Electricity Usage- Wild Fires,2014,5-14-2014,3:34 PM,Unknown,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,N-A,426,"wild fire, public appeal"
Electrical System Separation (Islanding),2013,10-21-2013,5:18 AM,10-21-2013,5:33 AM,Pacific Gas & Electric Co,Location Unknown,WECC,115,433,islanding
Electrical System Separation-Severe Lightning Storms,2008,6-21-2008,3:09 p.m.,6-21-2008,6:53 p.m.,Pacific Gas and Electric Company,"Near Rogers Flat, California",WECC,3,477,"severe weather, thunderstorm, islanding"
Electrical System Separation,2008,12-19-2008,1:02 a.m.,12-19-2008,6:17 a.m.,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638,islanding
Heat Storm,2004,5-3-2004,2:30 p.m.,5-3-2004,7:00 p.m.,Southern California Edison,Central and Southern California,WECC,662,940,"severe weather, heat"
Physical Attack  Vandalism & Sabotage,2013,6-21-2013,7:40 AM,6-21-2013,12:14 PM,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,Unknown,1100,"vandalism, physical"
Severe Weather- Thunderstorm,2012,12-26-2012,2:50 PM,12-26-2012,7:40 PM,Town of Stantonsburg- (NC),"Stantonsburg, North Carolina",SERC,3,1200,"severe weather, thunderstorm"
Distribution System Interruption,2011,8-27-2011,2:00 AM,8-27-2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,1200,distribution interruption
Electrical System Separation-Load Shedding- Implemented Emergency Alert-Severe Storms,2007,9-18-2007,5:15 a.m.,9-18-2007,6:30 a.m.,Great River Energy,"Minnesota, North Dakota, Manitoba",MRO,"8,000-2010,000",1900,"severe weather, storm, islanding, load shedding"
Vandalism,2011,10-17-2011,3:44 PM,10-17-2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,2000,vandalism
Electrical System Separation (Islanding),2012,10-14-2012,10:36 AM,10-14-2012,10:50 AM,Pacific Gas & Electric Co,Northern California,WECC,3,2035,islanding
Physical Attack  Vandalism,2013,7-5-2013,12:05 AM,7-5-2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,2500,"vandalism, physical"
Suspected Physical Attack,2011,12-20-2011,7:45 AM,12-20-2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,2500,"vandalism, physical"
Electric System Separation,2010,6-6-2010,4:45 a.m.,6-6-2010,5:35 AM,Pacific Gas and Electric,Northern California,WECC,3,2650,islanding
Electrical System Separation-Islanding,2010,10-27-2010,5:16 p.m.,10-27-2010,5:27 PM,Pacific Gas and Electric,Northern California,WECC,16,2674,islanding
Suspected Physical Attack,2012,8-19-2012,8:42 AM,8-19-2012,12:08 PM,El Paso Electric Co,"El Paso, Texas",WECC,12,3314,"vandalism, physical"
Ice Storm,2009,1-28-2009,4:00 a.m.,2-7-2009,5:00 p.m.,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,3500,"severe weather, winter storm"
Transmission System Interruption,2010,6-9-2010,2:18 p.m.,6-9-2010,3:00 PM,North Carolina Eastern Municipal Power Agency,"Edenton, NC",SERC,N-A,4196,transmission interruption
Electrical System Separation (Islanding),2011,6-5-2011,8:02 PM,6-5-2011,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,5314,islanding
Electrical System Separation-Load Shedding- Implemented Emergency Alert-Severe Storms,2007,9-18-2007,5:14 a.m.,9-18-2007,6:10 a.m.,Northern States Power Company,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",MRO,16,6000,"severe weather, storm, islanding, load shedding"
Operational Failure  Storm Damage,2012,7-1-2012,4:47 PM,7-1-2012,11:00 PM,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",SERC,48,6100,"equipment failure, severe weather, storm"
Transmission System Interruption,2013,5-31-2013,7:07 PM,6-1-2013,2:15 PM,Coffeyville Municipal Light and Power,"Southeast Kansas, Northeast Oklahoma",MRO,102,6300,transmission interruption
Electrical System Separation- Islanding,2010,12-14-2010,7:20 a.m.,12-14-2010,7:25 AM,Pacific Gas and Electric,California,WECC,9,6635,islanding
Generation Inadequacy-Load Shed,2011,3-11-2011,7:02 AM,3-11-2011,9:15 AM,Pacific Gas and Electric,"Humboldt and Eureka, California",WECC,15,6800,load shedding
Electrical System Separation (Islanding),2013,2-19-2013,4:01 PM,2-20-2013,12:55 PM,Pacific Gas & Electric Co.,"Stockton, California",WECC,"13,850",6810,islanding
Electrical System Separation (Islanding)  Severe Weather,2013,8-29-2013,2:57 PM,8-29-2013,3:29 PM,Xcel Energy,"Ashland, Wisconsin",MRO,15,7000,"islanding, severe weather"
Electrical System Separation- Islanding,2010,12-3-2010,9:32 p.m.,12-4-2010,2:00 AM,Pacific Gas and Electric,California,WECC,22,7077,islanding
Electrical System Separation- Islanding,2010,11-23-2010,2:01 p.m.,11-23-2010,6:12 PM,Pacific Gas and Electric,Northern California,WECC,22,7077,islanding
System-wide voltage reductions of 3 percent or more,2013,11-17-2013,12:35 PM,11-17-2013,1:40 PM,City of Rochelle,"Rochelle, Indiana",RFC,38,7500,voltage reduction
Made Public Appeals,2010,8-12-2010,3:42 p.m.,8-12-2010,10:10 PM,Wisconsin Public Service,"City of Oshkosh, Wisconsin",MRO,30,7600,public appeal
Public Appeal to Reduce Electricity Usage,2012,6-29-2012,4:00 PM,6-29-2012,9:00 PM,Entergy,"Eastern, Arkansas",SERC,45,7935,public appeal
Made Public Appeals,2008,8-15-2008,12:52 p.m.,8-15-2008,5:00 p.m.,Seattle City Light,Part of Seattle's Downtown,WECC,100,8000,public appeal
Load Reduction-Public Appeals Made,2006,7-19-2006,11:00 a.m.,7-19-2006,5:54 p.m.,Entergy Services Inc.,"Greater Little Rock, Arkansas",SERC,40,8000,"load shedding, public appeal"
Severe Weather,2011,3-13-2011,2:20 PM,3-14-2011,3:46 PM,PacifiCorp,Oregon,WECC,UNK,9000,severe weather
Load Shed-Made Public Appeals-Rolling Blackouts,2006,4-17-2006,4:20 p.m.,4-17-2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,9000,"load shedding, public appeal"
Physical Attack,2013,10-6-2013,7:25 AM,10-6-2013,9:15 AM,MISO- AECC,"Jacksonville, Arkansas",SPP,Unknown,9200,"vandalism, physical"
Electrical System Separation,2007,9-17-2007,7:01 p.m.,9-17-2007,7:48 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,50,9600,islanding
Shed Load,2009,1-22-2009,4:00 p.m.,1-22-2009,5:05 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,9700,load shedding
Shed Firm Load,2008,12-30-2008,4:02 p.m.,12-30-2008,4:37 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,9700,load shedding
Electrical System Separation,2008,6-15-2008,7:06 p.m.,6-15-2008,8:42 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,57,9700,islanding
