Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Cyber Event with Potential to Cause Impact,2013,10/16/13,11:15 AM,10/16/13,6:00 PM,Duke Energy Progress,"Roxboro Plant, North Carolina",SERC,0,0,"vandalism, cyber"
Physical Attack; Copper Theft,2013,7/10/13,2:30 PM,7/10/13,2:45 PM,ISO New England,"Boston, Massachusetts",NPCC,0,0,"vandalism, physical"
Suspected Physical Attack,2013,7/3/13,9:34 AM,7/3/13,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,"vandalism, physical"
Vandalism,2013,4/25/13,4:00 PM,4/26/13,10:55 AM,City and County of San Francisco,"Sunol, California",WECC,0,0,vandalism
"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/13,1:47 AM,4/18/13,3:25 PM,Pacific Gas & Electric Co,California,WECC,N/A,0,vandalism
Sabotage; Vandalism,2013,4/3/13,11:05 AM,4/3/13,2:00 PM,Colorado Springs Utilities,"Colorado Springs, Colorado",WECC,0,0,vandalism
Suspected Physical Attack,2013,3/18/13,5:50 PM,3/18/13,6:07 PM,Jacksonville Electric Authority (JEA),Northeast Florida,FRCC,0,0,"vandalism, physical"
Vandalism,2013,2/7/13,8:32 AM,2/7/13,9:47 AM,Duke Energy Ohio Inc,"Cincinnati, Ohio",RFC,Unknown,0,vandalism
Suspected Physical Attack,2013,1/16/13,4:45 PM,1/16/13,7:26 PM,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,12/17/12,6:55 AM,12/17/12,7:00 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,12/3/12,12:02 PM,12/3/12,12:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/27/12,1:07 PM,11/27/12,1:40 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/12,12:37 PM,11/26/12,12:38 PM,Delmarva Power & Light Company,"Frankfort, Delaware",RFC,0,0,"vandalism, physical"
Fuel Supply Deficiency,2012,11/17/12,10:00 AM,11/18/12,10:00 AM,ERCOT,"Comanche Peak, Texas",TRE,"1,231",0,fuel supply emergency
Physical Attack; Vandalism,2012,11/15/12,5:38 AM,11/15/12,5:39 AM,ISO New England,Southeast Massachusetts,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/8/12,9:34 AM,11/8/12,9:35 AM,Delmarva Power & Light Company,"Bishopville, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/7/12,2:21 PM,11/7/12,2:48 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/2/12,9:30 AM,11/2/12,12:10 PM,ISO New England,"Concord, Vermont",NPCC,0,0,"vandalism, physical"
Vandalism,2012,10/30/12,1:20 PM,10/30/12,1:25 PM,ISO New England,"Fitzwilliam, New Hampshire",NPCC,0,0,vandalism
Physical Attack; Vandalism,2012,10/30/12,12:00 AM,10/30/12,12:02 AM,Potomac Electric Power Company (PEPCO),"Hyattsville, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/29/12,9:00 AM,10/29/12,9:01 AM,City of Tacoma (TPWR),"LaGrande, Washington",WECC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/25/12,6:51 PM,10/25/12,7:30 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/25/12,2:39 PM,10/25/12,6:00 PM,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",WECC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/24/12,3:15 PM,10/24/12,3:16 PM,Delmarva Power & Light Company,"Frankford, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/24/12,12:00 AM,10/24/12,12:01 AM,Potomac Electric Power Company (PEPCO),"Kingswood, Maryland",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,10/24/12,12:00 AM,10/24/12,12:01 AM,Potomac Electric Power Company (PEPCO),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,10/22/12,12:00 AM,10/22/12,12:01 AM,Potomac Electric Power Company (PEPCO),"Norbeck, Maryland",RFC,0,0,"vandalism, physical"
Vandalism; Theft,2012,10/15/12,2:15 PM,10/15/12,2:16 PM,ISO New England,Southeast Vermont,NPCC,0,0,"vandalism, physical"
Vandalsim,2012,10/11/12,12:00 AM,10/11/12,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalsim,2012,10/9/12,12:00 AM,10/9/12,12:01 AM,Potomac Electric Power Company (PEPCO),"Seat Pleasant, Maryland",RFC,0,0,vandalism
Suspected Physical Attack,2012,9/24/12,12:00 AM,9/25/12,12:00 AM,PEPCO (Potomac Electric Power Company),"Brighton, Maryland",RFC,0,0,"vandalism, physical"
Electrical System Separation (Islanding),2012,9/11/12,1:00 PM,9/11/12,1:58 PM,WECC - Loveland,"Alberta, Canada",WECC,0,0,islanding
Electrical System Separation (Islanding),2012,9/5/12,10:56 AM,9/5/12,11:27 AM,WECC Reliability Coordinator,"Alberta, Canada",WECC,0,0,islanding
Vandalism,2012,8/16/12,1:13 PM,8/16/12,1:13 PM,Northern Indiana Public Service Company,Northern Indiana,RFC,0,0,vandalism
Fuel Supply Deficiency (Water),2012,7/7/12,4:00 AM,7/10/12,4:00 AM,California Department of Water Resources,CAISO California,WECC,Unknown,0,"fuel supply emergency, hydro"
Physical Attack,2012,6/29/12,10:45 AM,6/29/12,10:45 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
